Date,Open,High,Low,Close,Adj Close,Volume
2011-11-16,3.650000,3.747500,3.632500,3.645000,3.345207,51242000
2011-11-17,3.637500,3.647500,3.450000,3.515000,3.225899,65750400
2011-11-18,3.535000,3.535000,3.445000,3.482500,3.196072,50135200
2011-11-21,3.427500,3.692500,3.375000,3.657500,3.356679,133078800
2011-11-22,3.697500,3.790000,3.677500,3.770000,3.459926,128748000
2011-11-23,3.730000,3.757500,3.607500,3.610000,3.313086,82534000
2011-11-25,3.562500,3.645000,3.500000,3.510000,3.221310,40662000
2011-11-28,3.625000,3.762500,3.625000,3.707500,3.402566,69061600
2011-11-29,3.702500,3.775000,3.667500,3.727500,3.420922,62344000
2011-11-30,3.840000,3.917500,3.807500,3.907500,3.586117,73032400
2011-12-01,3.875000,3.965000,3.857500,3.955000,3.629710,52976000
2011-12-02,3.997500,4.012500,3.892500,3.930000,3.606767,54646400
2011-12-05,3.995000,4.000000,3.837500,3.870000,3.551701,64469600
2011-12-06,3.892500,3.900000,3.775000,3.815000,3.501225,57383200
2011-12-07,3.790000,3.820000,3.712500,3.792500,3.480575,51001600
2011-12-08,3.755000,3.817500,3.660000,3.672500,3.370445,49148800
2011-12-09,3.645000,3.755000,3.595000,3.725000,3.418627,55584000
2011-12-12,3.645000,3.660000,3.565000,3.632500,3.333735,57320800
2011-12-13,3.680000,3.725000,3.510000,3.532500,3.241960,51659600
2011-12-14,3.502500,3.522500,3.357500,3.395000,3.115769,63602000
2011-12-15,3.452500,3.475000,3.357500,3.365000,3.088236,43514800
2011-12-16,3.392500,3.457500,3.362500,3.377500,3.099708,61911600
2011-12-19,3.392500,3.432500,3.277500,3.290000,3.019405,46327600
2011-12-20,3.365000,3.487500,3.365000,3.475000,3.189189,44520800
2011-12-21,3.455000,3.492500,3.362500,3.430000,3.147890,54842400
2011-12-22,3.440000,3.587500,3.440000,3.577500,3.283259,57656000
2011-12-23,3.595000,3.600000,3.512500,3.542500,3.251137,24894800
2011-12-27,3.527500,3.570000,3.505000,3.515000,3.225899,19571200
2011-12-28,3.515000,3.522500,3.425000,3.427500,3.145596,23396000
2011-12-29,3.462500,3.500000,3.412500,3.492500,3.205249,21111200
2011-12-30,3.480000,3.517500,3.460000,3.465000,3.180012,18695600
2012-01-03,3.575000,3.600000,3.502500,3.510000,3.221310,46804400
2012-01-04,3.512500,3.565000,3.480000,3.550000,3.258021,34737200
2012-01-05,3.532500,3.695000,3.517500,3.677500,3.375034,56354800
2012-01-06,3.675000,3.677500,3.592500,3.635000,3.336030,53325200
2012-01-09,3.637500,3.705000,3.610000,3.635000,3.336030,50824400
2012-01-10,3.690000,3.692500,3.595000,3.620000,3.322263,54632800
2012-01-11,3.587500,3.620000,3.532500,3.547500,3.255726,48427200
2012-01-12,3.555000,3.557500,3.447500,3.525000,3.235076,65236400
2012-01-13,3.500000,3.507500,3.415000,3.432500,3.150185,50430000
2012-01-17,3.485000,3.485000,3.375000,3.380000,3.102002,62717600
2012-01-18,3.445000,3.522500,3.427500,3.495000,3.207544,63267600
2012-01-19,3.525000,3.592500,3.487500,3.587500,3.292436,60831200
2012-01-20,3.582500,3.625000,3.542500,3.555000,3.262609,54627200
2012-01-23,3.557500,3.655000,3.512500,3.652500,3.352089,56279200
2012-01-24,3.627500,3.750000,3.625000,3.735000,3.427804,73092000
2012-01-25,3.635000,3.722500,3.530000,3.712500,3.407155,127415200
2012-01-26,3.767500,3.810000,3.657500,3.677500,3.375034,79967200
2012-01-27,3.655000,3.747500,3.625000,3.727500,3.420922,44999600
2012-01-30,3.662500,3.717500,3.607500,3.700000,3.395684,39907600
2012-01-31,3.710000,3.712500,3.627500,3.692500,3.388800,35790000
2012-02-01,3.735000,3.775000,3.682500,3.732500,3.425510,42802000
2012-02-02,3.752500,3.887500,3.715000,3.872500,3.553996,69623600
2012-02-03,3.930000,3.987500,3.922500,3.955000,3.629710,49523200
2012-02-06,3.935000,3.940000,3.890000,3.925000,3.602177,27886800
2012-02-07,3.930000,3.957500,3.865000,3.935000,3.611356,41029600
2012-02-08,3.935000,4.155000,3.915000,4.077500,3.742134,84761200
2012-02-09,4.127500,4.150000,4.067500,4.075000,3.739841,56194400
2012-02-10,4.035000,4.050000,3.952500,3.975000,3.648064,44026800
2012-02-13,4.075000,4.090000,3.955000,4.037500,3.705425,61066800
2012-02-14,4.037500,4.095000,4.002500,4.060000,3.726075,45375600
2012-02-15,4.097500,4.225000,4.032500,4.042500,3.710013,111085600
2012-02-16,3.765000,4.145000,3.750000,4.112500,3.774256,188858800
2012-02-17,4.115000,4.142500,3.925000,3.962500,3.636594,102036000
2012-02-21,3.960000,4.080000,3.952500,3.982500,3.654948,51817600
2012-02-22,3.962500,4.060000,3.950000,3.955000,3.629710,49243200
2012-02-23,3.962500,4.000000,3.900000,3.977500,3.650359,32396800
2012-02-24,3.990000,3.995000,3.930000,3.947500,3.622828,36666800
2012-02-27,3.897500,3.915000,3.812500,3.867500,3.549407,74526800
2012-02-28,3.867500,3.912500,3.792500,3.832500,3.517285,69988400
2012-02-29,3.845000,3.910000,3.785000,3.787500,3.475986,68919600
2012-03-01,3.802500,3.857500,3.787500,3.812500,3.498931,44994400
2012-03-02,3.800000,3.900000,3.800000,3.845000,3.528757,68407600
2012-03-05,3.817500,3.825000,3.687500,3.715000,3.409449,51484800
2012-03-06,3.672500,3.702500,3.615000,3.680000,3.377328,47140000
2012-03-07,3.700000,3.717500,3.650000,3.702500,3.397978,44198400
2012-03-08,3.712500,3.752500,3.692500,3.715000,3.409449,43085200
2012-03-09,3.725000,3.752500,3.685000,3.705000,3.400272,36783600
2012-03-12,3.720000,3.745000,3.637500,3.647500,3.347501,29994800
2012-03-13,3.662500,3.717500,3.645000,3.697500,3.393389,55328800
2012-03-14,3.697500,3.705000,3.580000,3.592500,3.297025,73570800
2012-03-15,3.602500,3.665000,3.590000,3.645000,3.345207,38238000
2012-03-16,3.647500,3.665000,3.627500,3.650000,3.349796,42834000
2012-03-19,3.670000,3.687500,3.642500,3.660000,3.358973,40540000
2012-03-20,3.640000,3.640000,3.567500,3.600000,3.303908,44961600
2012-03-21,3.600000,3.647500,3.560000,3.615000,3.317674,46784000
2012-03-22,3.587500,3.640000,3.577500,3.610000,3.313086,42537200
2012-03-23,3.600000,3.647500,3.575000,3.637500,3.338324,31545600
2012-03-26,3.672500,3.697500,3.637500,3.680000,3.377328,28860000
2012-03-27,3.695000,3.750000,3.687500,3.705000,3.400272,41996800
2012-03-28,3.752500,3.840000,3.725000,3.790000,3.478281,89244800
2012-03-29,3.785000,3.837500,3.737500,3.807500,3.494341,37270000
2012-03-30,3.840000,3.872500,3.785000,3.850000,3.533346,52724000
2012-04-02,3.840000,3.872500,3.777500,3.832500,3.517285,40777600
2012-04-03,3.860000,3.865000,3.750000,3.770000,3.459926,43047600
2012-04-04,3.712500,3.760000,3.640000,3.662500,3.361267,49589600
2012-04-05,3.667500,3.712500,3.645000,3.657500,3.356679,36942400
2012-04-09,3.600000,3.622500,3.540000,3.610000,3.313086,36550400
2012-04-10,3.595000,3.645000,3.522500,3.540000,3.248843,47036000
2012-04-11,3.587500,3.662500,3.575000,3.585000,3.290141,37296000
2012-04-12,3.590000,3.690000,3.575000,3.670000,3.368151,38486800
2012-04-13,3.637500,3.657500,3.537500,3.540000,3.248843,31132400
2012-04-16,3.565000,3.575000,3.440000,3.497500,3.209838,46346800
2012-04-17,3.507500,3.550000,3.492500,3.505000,3.216722,46069600
2012-04-18,3.482500,3.500000,3.425000,3.467500,3.182306,40076400
2012-04-19,3.422500,3.552500,3.397500,3.415000,3.134124,66718800
2012-04-20,3.435000,3.445000,3.340000,3.347500,3.072176,50959200
2012-04-23,3.290000,3.322500,3.227500,3.307500,3.035466,70624400
2012-04-24,3.317500,3.345000,3.187500,3.205000,2.941396,73044000
2012-04-25,3.252500,3.295000,3.192500,3.270000,3.001050,72711200
2012-04-26,3.267500,3.300000,3.245000,3.272500,3.003344,53920800
2012-04-27,3.267500,3.287500,3.210000,3.245000,2.978106,47535600
2012-04-30,3.227500,3.267500,3.205000,3.250000,2.982695,26226800
2012-05-01,3.232500,3.342500,3.232500,3.307500,3.035466,40868000
2012-05-02,3.295000,3.307500,3.195000,3.212500,2.948279,68400800
2012-05-03,3.220000,3.240000,3.137500,3.157500,2.897802,41953600
2012-05-04,3.137500,3.155000,3.065000,3.065000,2.812911,54509200
2012-05-07,3.120000,3.172500,3.092500,3.117500,2.861092,60444000
2012-05-08,3.090000,3.135000,3.035000,3.115000,2.858799,46231200
2012-05-09,3.060000,3.152500,3.030000,3.127500,2.870270,52060800
2012-05-10,3.157500,3.162500,3.055000,3.105000,2.849621,59709200
2012-05-11,3.362500,3.420000,3.290000,3.302500,3.030876,143514000
2012-05-14,3.275000,3.332500,3.207500,3.282500,3.012522,43747200
2012-05-15,3.282500,3.355000,3.235000,3.250000,2.982695,59994000
2012-05-16,3.255000,3.292500,3.175000,3.185000,2.923041,47048400
2012-05-17,3.197500,3.227500,3.162500,3.162500,2.902392,33536400
2012-05-18,3.170000,3.185000,3.005000,3.020000,2.771612,56728800
2012-05-21,3.025000,3.087500,3.005000,3.072500,2.819793,41626000
2012-05-22,3.070000,3.075000,2.990000,3.035000,2.785378,41014000
2012-05-23,3.002500,3.115000,2.957500,3.110000,2.854209,49600000
2012-05-24,3.127500,3.132500,3.005000,3.027500,2.778495,52042000
2012-05-25,3.025000,3.125000,3.025000,3.100000,2.845033,39175200
2012-05-29,3.150000,3.200000,3.137500,3.180000,2.918453,31000000
2012-05-30,3.145000,3.167500,3.087500,3.142500,2.884036,37979200
2012-05-31,3.142500,3.155000,3.067500,3.107500,2.851915,35819200
2012-06-01,3.042500,3.072500,2.990000,2.995000,2.748668,44098400
2012-06-04,3.010000,3.027500,2.907500,2.932500,2.691309,43285600
2012-06-05,2.917500,3.025000,2.917500,3.017500,2.769318,36522400
2012-06-06,3.040000,3.105000,3.017500,3.097500,2.842737,36896800
2012-06-07,3.142500,3.160000,2.970000,2.972500,2.728019,52678000
2012-06-08,2.982500,3.040000,2.977500,3.030000,2.780789,37030800
2012-06-11,3.127500,3.182500,3.057500,3.065000,2.812911,83908000
2012-06-12,3.100000,3.157500,3.095000,3.127500,2.870270,49612800
2012-06-13,3.125000,3.132500,3.030000,3.045000,2.794555,49427600
2012-06-14,3.040000,3.065000,2.977500,3.007500,2.760140,58988400
2012-06-15,3.030000,3.075000,3.002500,3.072500,2.819793,38528800
2012-06-18,3.050000,3.125000,3.025000,3.100000,2.845033,30442400
2012-06-19,3.227500,3.357500,3.212500,3.310000,3.037760,96047600
2012-06-20,3.342500,3.425000,3.322500,3.362500,3.085942,97272000
2012-06-21,3.360000,3.360000,3.202500,3.210000,2.945986,51637600
2012-06-22,3.250000,3.287500,3.205000,3.250000,2.982695,86536000
2012-06-25,3.252500,3.262500,3.135000,3.147500,2.888626,49461600
2012-06-26,3.165000,3.205000,3.120000,3.182500,2.920746,43715200
2012-06-27,3.185000,3.307500,3.185000,3.285000,3.014817,50606400
2012-06-28,3.255000,3.330000,3.227500,3.310000,3.037760,54589600
2012-06-29,3.387500,3.462500,3.385000,3.455000,3.170834,61650800
2012-07-02,3.472500,3.475000,3.335000,3.362500,3.085942,58168400
2012-07-03,3.362500,3.457500,3.360000,3.450000,3.166245,21928400
2012-07-05,3.427500,3.442500,3.362500,3.415000,3.134124,28007600
2012-07-06,3.390000,3.400000,3.312500,3.350000,3.074470,38276000
2012-07-09,3.330000,3.345000,3.277500,3.305000,3.033171,30633600
2012-07-10,3.270000,3.367500,3.180000,3.205000,2.941396,51202800
2012-07-11,3.215000,3.255000,3.137500,3.152500,2.893214,48521600
2012-07-12,3.117500,3.122500,3.072500,3.100000,2.845033,47216000
2012-07-13,3.102500,3.155000,3.082500,3.140000,2.881742,32426000
2012-07-16,3.120000,3.175000,3.090000,3.150000,2.890920,33446000
2012-07-17,3.160000,3.177500,3.040000,3.092500,2.838149,44747600
2012-07-18,3.085000,3.310000,3.070000,3.265000,2.996461,61600800
2012-07-19,3.287500,3.340000,3.265000,3.297500,3.026288,40303600
2012-07-20,3.277500,3.300000,3.167500,3.202500,2.939101,45100000
2012-07-23,3.117500,3.267500,3.082500,3.245000,2.978106,45158400
2012-07-24,3.250000,3.270000,3.172500,3.210000,2.945986,35116400
2012-07-25,3.200000,3.305000,3.185000,3.272500,3.003344,41504400
2012-07-26,3.332500,3.370000,3.262500,3.287500,3.017110,33844000
2012-07-27,3.300000,3.380000,3.275000,3.370000,3.092825,37651600
2012-07-30,3.370000,3.412500,3.305000,3.332500,3.058410,36355200
2012-07-31,3.332500,3.432500,3.327500,3.385000,3.106592,38778800
2012-08-01,3.405000,3.437500,3.332500,3.347500,3.072176,33591200
2012-08-02,3.330000,3.410000,3.275000,3.360000,3.083648,36791200
2012-08-03,3.412500,3.465000,3.332500,3.430000,3.147890,32654800
2012-08-06,3.462500,3.520000,3.457500,3.502500,3.214427,36032400
2012-08-07,3.545000,3.575000,3.517500,3.537500,3.246548,40734000
2012-08-08,3.535000,3.595000,3.525000,3.557500,3.264904,51706400
2012-08-09,3.562500,3.685000,3.557500,3.677500,3.375034,82230000
2012-08-10,3.775000,3.805000,3.607500,3.655000,3.354385,127874400
2012-08-13,3.660000,3.705000,3.645000,3.702500,3.397978,44724400
2012-08-14,3.715000,3.720000,3.632500,3.647500,3.347501,38882800
2012-08-15,3.660000,3.690000,3.602500,3.620000,3.322263,59440400
2012-08-16,3.652500,3.707500,3.640000,3.695000,3.391094,37100800
2012-08-17,3.695000,3.695000,3.630000,3.662500,3.361267,30986400
2012-08-20,3.650000,3.667500,3.607500,3.662500,3.361267,31439200
2012-08-21,3.675000,3.697500,3.615000,3.652500,3.352089,34024800
2012-08-22,3.630000,3.675000,3.617500,3.660000,3.358973,31355600
2012-08-23,3.652500,3.655000,3.562500,3.577500,3.283259,37904000
2012-08-24,3.577500,3.667500,3.570000,3.650000,3.349796,34772400
2012-08-27,3.647500,3.657500,3.585000,3.587500,3.292436,34094400
2012-08-28,3.560000,3.607500,3.552500,3.572500,3.278670,31076400
2012-08-29,3.570000,3.602500,3.562500,3.580000,3.285553,25041200
2012-08-30,3.572500,3.585000,3.495000,3.512500,3.223605,30748800
2012-08-31,3.537500,3.562500,3.472500,3.507500,3.219017,48506400
2012-09-04,3.450000,3.462500,3.287500,3.320000,3.046937,69445200
2012-09-05,3.332500,3.380000,3.295000,3.330000,3.056115,48025600
2012-09-06,3.355000,3.522500,3.352500,3.432500,3.150185,65729600
2012-09-07,3.345000,3.372500,3.237500,3.350000,3.074470,78106400
2012-09-10,3.342500,3.390000,3.312500,3.320000,3.046937,37110800
2012-09-11,3.317500,3.412500,3.305000,3.360000,3.083648,38280800
2012-09-12,3.387500,3.415000,3.355000,3.397500,3.118063,32260800
2012-09-13,3.427500,3.440000,3.355000,3.420000,3.138713,43383600
2012-09-14,3.417500,3.520000,3.417500,3.460000,3.175422,33946800
2012-09-17,3.467500,3.467500,3.327500,3.365000,3.088236,49334800
2012-09-18,3.327500,3.427500,3.325000,3.387500,3.108886,35995200
2012-09-19,3.395000,3.475000,3.355000,3.427500,3.145596,45193600
2012-09-20,3.420000,3.437500,3.375000,3.402500,3.122652,32059600
2012-09-21,3.407500,3.437500,3.395000,3.417500,3.136419,34013600
2012-09-24,3.362500,3.420000,3.357500,3.415000,3.134124,35783200
2012-09-25,3.460000,3.475000,3.347500,3.352500,3.076765,48154400
2012-09-26,3.340000,3.342500,3.255000,3.295000,3.023993,43681200
2012-09-27,3.302500,3.325000,3.275000,3.320000,3.046937,55888800
2012-09-28,3.305000,3.382500,3.262500,3.335000,3.060703,48550800
2012-10-01,3.350000,3.370000,3.267500,3.280000,3.010227,50423600
2012-10-02,3.302500,3.302500,3.255000,3.292500,3.021699,29549200
2012-10-03,3.300000,3.310000,3.242500,3.260000,2.991873,43087200
2012-10-04,3.267500,3.425000,3.250000,3.405000,3.124947,50260800
2012-10-05,3.415000,3.450000,3.312500,3.325000,3.051525,48306800
2012-10-08,3.312500,3.327500,3.267500,3.292500,3.021699,24059600
2012-10-09,3.287500,3.297500,3.212500,3.222500,2.957457,36636000
2012-10-10,3.207500,3.222500,3.155000,3.167500,2.906980,32656800
2012-10-11,3.197500,3.207500,3.160000,3.185000,2.923041,32051600
2012-10-12,3.162500,3.187500,3.137500,3.157500,2.897802,26069600
2012-10-15,3.162500,3.200000,3.125000,3.197500,2.934512,24958000
2012-10-16,3.225000,3.300000,3.195000,3.290000,3.019405,36769600
2012-10-17,3.250000,3.280000,3.217500,3.265000,2.996461,39175200
2012-10-18,3.257500,3.257500,3.202500,3.215000,2.950572,25477200
2012-10-19,3.167500,3.190000,3.010000,3.027500,2.778495,70941200
2012-10-22,3.040000,3.057500,2.967500,2.992500,2.746373,48084000
2012-10-23,2.965000,3.102500,2.957500,3.082500,2.828972,57394800
2012-10-24,3.102500,3.115000,3.012500,3.042500,2.792261,33291600
2012-10-25,3.067500,3.100000,3.032500,3.045000,2.794555,30735600
2012-10-26,3.050000,3.067500,3.012500,3.012500,2.764729,38937600
2012-10-31,3.025000,3.050000,2.987500,2.995000,2.748668,34711200
2012-11-01,3.010000,3.140000,3.007500,3.137500,2.879447,47322000
2012-11-02,3.170000,3.175000,3.102500,3.122500,2.865681,25670000
2012-11-05,3.115000,3.267500,3.115000,3.255000,2.987284,44484000
2012-11-06,3.262500,3.262500,3.197500,3.252500,2.984990,35080400
2012-11-07,3.227500,3.247500,3.137500,3.152500,2.893214,32462000
2012-11-08,3.187500,3.270000,3.162500,3.170000,2.909275,83902400
2012-11-09,3.187500,3.225000,3.037500,3.047500,2.796850,84628000
2012-11-12,3.052500,3.065000,2.950000,2.980000,2.734902,64362400
2012-11-13,2.965000,3.032500,2.955000,2.957500,2.714252,49212000
2012-11-14,2.975000,3.005000,2.882500,2.885000,2.647715,61930000
2012-11-15,2.902500,2.977500,2.877500,2.897500,2.659187,46668800
2012-11-16,2.897500,2.907500,2.787500,2.845000,2.611004,62455200
2012-11-19,2.897500,2.935000,2.862500,2.925000,2.684425,40409200
2012-11-20,2.895000,2.907500,2.842500,2.872500,2.653252,33697600
2012-11-21,2.872500,2.962500,2.870000,2.955000,2.729454,42231200
2012-11-23,2.967500,3.010000,2.952500,2.975000,2.747928,27693200
2012-11-26,2.980000,3.035000,2.975000,3.027500,2.796421,36460000
2012-11-27,3.015000,3.085000,2.990000,3.040000,2.807967,45140400
2012-11-28,3.027500,3.080000,2.990000,3.065000,2.831059,39833200
2012-11-29,3.070000,3.085000,3.000000,3.010000,2.780257,48868800
2012-11-30,3.007500,3.030000,2.975000,2.992500,2.764092,46050400
2012-12-03,3.030000,3.030000,2.930000,2.937500,2.713290,39138000
2012-12-04,2.942500,3.030000,2.925000,3.025000,2.794112,52806800
2012-12-05,3.000000,3.020000,2.947500,2.990000,2.761783,63302400
2012-12-06,2.982500,3.015000,2.972500,2.995000,2.766401,41289600
2012-12-07,2.997500,3.012500,2.955000,2.990000,2.761783,33828800
2012-12-10,2.990000,3.112500,2.982500,3.090000,2.854150,51364400
2012-12-11,3.100000,3.202500,3.092500,3.162500,2.921116,81672400
2012-12-12,3.172500,3.190000,3.117500,3.130000,2.891098,39940400
2012-12-13,3.125000,3.192500,3.102500,3.132500,2.893405,37755600
2012-12-14,3.145000,3.180000,3.122500,3.147500,2.907262,33866000
2012-12-17,3.140000,3.157500,3.087500,3.135000,2.895716,44523200
2012-12-18,3.135000,3.175000,3.125000,3.140000,2.900333,41643600
2012-12-19,3.162500,3.200000,3.150000,3.162500,2.921116,45854400
2012-12-20,3.175000,3.177500,3.125000,3.160000,2.918807,33433200
2012-12-21,3.117500,3.117500,3.052500,3.087500,2.851841,46217200
2012-12-24,3.085000,3.095000,3.052500,3.062500,2.828750,12737600
2012-12-26,3.055000,3.105000,3.047500,3.060000,2.826440,19674000
2012-12-27,3.065000,3.070000,3.005000,3.040000,2.807967,29980400
2012-12-28,3.012500,3.072500,3.007500,3.025000,2.794112,22060000
2012-12-31,3.015000,3.077500,3.007500,3.065000,2.831059,32646000
2013-01-02,3.140000,3.182500,3.127500,3.180000,2.937281,47883600
2013-01-03,3.180000,3.217500,3.145000,3.182500,2.939590,29888800
2013-01-04,3.187500,3.297500,3.177500,3.287500,3.036575,52496800
2013-01-07,3.285000,3.295000,3.170000,3.192500,2.948827,61073200
2013-01-08,3.200000,3.210000,3.100000,3.122500,2.884170,46642400
2013-01-09,3.147500,3.162500,3.032500,3.052500,2.819513,69502000
2013-01-10,3.080000,3.095000,3.040000,3.057500,2.824131,50636800
2013-01-11,3.070000,3.072500,3.022500,3.052500,2.819513,51317200
2013-01-14,3.072500,3.072500,3.015000,3.050000,2.817204,30568400
2013-01-15,3.035000,3.035000,2.977500,2.995000,2.766401,37588800
2013-01-16,2.990000,3.047500,2.990000,3.022500,2.791803,33737600
2013-01-17,3.032500,3.075000,3.025000,3.062500,2.828750,58073600
2013-01-18,3.062500,3.062500,3.005000,3.042500,2.810276,39708800
2013-01-22,3.040000,3.067500,3.012500,3.027500,2.796421,30822400
2013-01-23,3.037500,3.040000,3.000000,3.032500,2.801039,42180800
2013-01-24,3.022500,3.060000,3.007500,3.047500,2.814894,39698000
2013-01-25,3.052500,3.105000,3.037500,3.102500,2.865695,39392000
2013-01-28,3.117500,3.172500,3.110000,3.152500,2.911880,42249200
2013-01-29,3.140000,3.147500,3.072500,3.085000,2.849532,38887200
2013-01-30,3.087500,3.130000,3.070000,3.080000,2.844913,28759200
2013-01-31,3.080000,3.115000,3.045000,3.065000,2.831059,47054400
2013-02-01,3.090000,3.102500,3.065000,3.092500,2.856460,28881600
